YearBuilt,Size(sqf),Floor,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_manager,N_elevators,N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),HallwayType_corridor,HallwayType_mixed,HallwayType_terraced,SubwayStation_Bangoge,SubwayStation_Banwoldang,SubwayStation_Chil-sung-market,SubwayStation_Daegu,SubwayStation_Kyungbuk_uni_hospital,SubwayStation_Myung-duk,SubwayStation_Sin-nam,SubwayStation_no_subway_nearby,SalePrice,PriceCategoryNum,PriceCategory
2006.0,814.0,3.0,0.0,0.0,111.0,184.0,7.5,12.5,3.0,0.0,5.0,6.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,141592.0,1.0,average
1985.0,587.0,8.0,0.0,1.0,80.0,76.0,2.5,7.5,2.0,2.0,3.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51327.0,0.0,cheap
1985.0,587.0,6.0,0.0,1.0,80.0,76.0,2.5,7.5,2.0,2.0,3.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48672.0,0.0,cheap
2006.0,2056.0,8.0,0.0,0.0,249.0,536.0,2.5,2.5,5.0,11.0,5.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,380530.0,2.0,expensive
1992.0,644.0,2.0,0.0,1.0,142.0,79.0,7.5,17.5,4.0,8.0,3.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,78318.0,0.0,cheap
1993.0,644.0,10.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,61946.0,0.0,cheap
1993.0,644.0,3.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84070.0,0.0,cheap
1992.0,644.0,13.0,0.0,1.0,142.0,79.0,7.5,17.5,4.0,8.0,3.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83185.0,0.0,cheap
1986.0,1377.0,4.0,1.0,0.0,713.0,0.0,2.5,12.5,8.0,27.0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,168141.0,1.0,average
1986.0,914.0,11.0,1.0,0.0,713.0,0.0,2.5,12.5,8.0,27.0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153982.0,1.0,average
1985.0,587.0,7.0,0.0,1.0,80.0,76.0,2.5,7.5,2.0,2.0,3.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60176.0,0.0,cheap
1992.0,576.0,5.0,0.0,0.0,200.0,0.0,7.5,12.5,5.0,10.0,3.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64601.0,0.0,cheap
1993.0,1451.0,1.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,176991.0,1.0,average
1993.0,644.0,20.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92035.0,0.0,cheap
2007.0,868.0,18.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,181061.0,1.0,average
1986.0,1131.0,7.0,1.0,0.0,713.0,0.0,2.5,12.5,8.0,27.0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,165486.0,1.0,average
2007.0,868.0,12.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,198230.0,1.0,average
2007.0,868.0,3.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,185840.0,1.0,average
2007.0,1643.0,39.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,448672.0,2.0,expensive
2007.0,1387.0,38.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,371681.0,2.0,expensive
2007.0,868.0,13.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,198230.0,1.0,average
1997.0,644.0,15.0,0.0,0.0,82.0,56.0,7.5,17.5,2.0,4.0,5.0,13.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74336.0,0.0,cheap
1985.0,587.0,5.0,0.0,1.0,80.0,76.0,2.5,7.5,2.0,2.0,3.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46902.0,0.0,cheap
1985.0,676.0,7.0,0.0,1.0,80.0,76.0,2.5,7.5,2.0,2.0,3.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61946.0,0.0,cheap
2006.0,2056.0,2.0,0.0,0.0,249.0,536.0,2.5,2.5,5.0,11.0,5.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,292035.0,1.0,average
1993.0,1761.0,15.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,221238.0,1.0,average
1992.0,355.0,13.0,0.0,0.0,200.0,0.0,7.5,12.5,5.0,10.0,3.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38495.0,0.0,cheap
1992.0,576.0,2.0,0.0,0.0,200.0,0.0,7.5,12.5,5.0,10.0,3.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60619.0,0.0,cheap
1993.0,914.0,9.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,138053.0,1.0,average
1992.0,355.0,5.0,0.0,0.0,200.0,0.0,7.5,12.5,5.0,10.0,3.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39823.0,0.0,cheap
1993.0,644.0,18.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92920.0,0.0,cheap
1993.0,914.0,16.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134513.0,1.0,average
1992.0,644.0,7.0,0.0,1.0,142.0,79.0,7.5,17.5,4.0,8.0,3.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77876.0,0.0,cheap
1993.0,644.0,12.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98230.0,0.0,cheap
1993.0,644.0,14.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95575.0,0.0,cheap
2005.0,743.0,8.0,0.0,0.0,67.0,798.0,2.5,7.5,6.0,0.0,7.0,13.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147787.0,1.0,average
2007.0,1387.0,42.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,340707.0,1.0,average
2007.0,868.0,7.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,197345.0,1.0,average
2007.0,1334.0,10.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,347787.0,1.0,average
2007.0,1334.0,17.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,347787.0,1.0,average
2007.0,1444.0,16.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,383185.0,2.0,expensive
2007.0,1690.0,22.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,462831.0,2.0,expensive
2007.0,1629.0,4.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,407079.0,2.0,expensive
2007.0,1483.0,4.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,360176.0,2.0,expensive
2007.0,1334.0,3.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,315929.0,1.0,average
2007.0,1690.0,25.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,465486.0,2.0,expensive
2007.0,1629.0,3.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,393805.0,2.0,expensive
2007.0,1483.0,3.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,348672.0,1.0,average
2007.0,1483.0,9.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,371681.0,2.0,expensive
2007.0,1483.0,6.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,371681.0,2.0,expensive
2007.0,1483.0,3.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,337168.0,1.0,average
2007.0,1483.0,4.0,0.0,0.0,7.0,605.0,2.5,2.5,5.0,5.0,5.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,360176.0,2.0,expensive
1993.0,914.0,1.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,110619.0,1.0,average
2005.0,914.0,8.0,0.0,0.0,67.0,798.0,2.5,7.5,6.0,0.0,7.0,13.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163716.0,1.0,average
2007.0,1103.0,24.0,0.0,0.0,554.0,524.0,2.5,2.5,5.0,10.0,4.0,9.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,232212.0,1.0,average
1993.0,644.0,15.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86725.0,0.0,cheap
1992.0,355.0,4.0,0.0,0.0,200.0,0.0,7.5,12.5,5.0,10.0,3.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36283.0,0.0,cheap
1993.0,644.0,19.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,88495.0,0.0,cheap
1992.0,644.0,16.0,0.0,1.0,142.0,79.0,7.5,17.5,4.0,8.0,3.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81858.0,0.0,cheap
1992.0,576.0,11.0,0.0,0.0,200.0,0.0,7.5,12.5,5.0,10.0,3.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60176.0,0.0,cheap
2007.0,1643.0,4.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,408849.0,2.0,expensive
1986.0,1131.0,5.0,1.0,0.0,713.0,0.0,2.5,12.5,8.0,27.0,4.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162831.0,1.0,average
2007.0,868.0,21.0,0.0,0.0,0.0,1270.0,2.5,2.5,14.0,16.0,10.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203539.0,1.0,average
1986.0,910.0,16.0,0.0,0.0,100.0,18.0,2.5,7.5,1.0,2.0,3.0,11.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94690.0,0.0,cheap
2006.0,1437.0,4.0,0.0,0.0,249.0,536.0,2.5,2.5,5.0,11.0,5.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,242920.0,1.0,average
2006.0,1743.0,15.0,0.0,0.0,249.0,536.0,2.5,2.5,5.0,11.0,5.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,307964.0,1.0,average
2007.0,1366.0,19.0,0.0,0.0,554.0,524.0,2.5,2.5,5.0,10.0,4.0,9.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,287486.0,1.0,average
2007.0,1366.0,20.0,0.0,0.0,554.0,524.0,2.5,2.5,5.0,10.0,4.0,9.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,285840.0,1.0,average
1993.0,914.0,16.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132743.0,1.0,average
2007.0,914.0,30.0,0.0,0.0,554.0,524.0,2.5,2.5,5.0,10.0,4.0,9.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,176991.0,1.0,average
2007.0,1448.0,30.0,0.0,0.0,554.0,524.0,2.5,2.5,5.0,10.0,4.0,9.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,323982.0,1.0,average
1993.0,644.0,15.0,0.0,0.0,523.0,536.0,2.5,17.5,8.0,20.0,4.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92035.0,0.0,cheap
2007.0,1394.0,24.0,0.0,0.0,554.0,524.0,2.5,2.5,5.0,10.0,4.0,9.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,265486.0,1.0,average
